id,element_in,element_out,entry,event,kind,result,web_name_x,web_name_y,total_points_in,total_points_out
1,251,526,322478,1,f,a,N.Jackson,Igor Jesus,0.0,86.0
2,7,256,296185,2,w,di,Calafiori,Muñoz,82.0,115.0
4,669,612,296586,2,w,a,Ndoye,L.Paquetá,23.0,24.0
5,410,475,296586,2,w,di,Lewis,Botman,2.0,12.0
6,470,600,296586,2,w,a,Dúbravka,Areola,72.0,18.0
7,261,475,296586,2,w,a,Richards,Botman,116.0,12.0
9,560,30,293094,2,w,a,Isidor,Havertz,40.0,10.0
11,526,30,293094,2,w,do,Igor Jesus,Havertz,86.0,10.0
12,487,324,295609,2,w,a,Barnes,Iwobi,53.0,47.0
13,410,406,294442,2,w,a,Lewis,Khusanov,2.0,36.0
24,478,474,296586,3,w,a,Trippier,Schär,23.0,8.0
25,683,474,296586,3,w,di,Thiaw,Schär,87.0,8.0
26,436,474,296586,3,w,do,De Ligt,Schär,4.0,8.0
28,83,416,295609,3,w,a,O.Dango,Bernardo,84.0,20.0
29,516,416,295609,3,w,di,Hudson-Odoi,Bernardo,2.0,20.0
30,500,671,295609,3,w,a,Osula,Wilson,2.0,26.0
32,682,683,295660,4,w,a,Diakité,Thiaw,19.0,87.0
34,735,310,322478,4,w,di,Kolo Muani,Barry,38.0,53.0
35,736,337,322478,4,w,a,Tolu,Raúl,37.0,92.0
36,12,473,322478,4,w,a,Zinchenko,Hall,5.0,55.0
37,728,673,322478,4,w,di,Donnarumma,Ramsdale,119.0,25.0
39,718,121,296586,4,w,a,Xavi,Damsgaard,20.0,64.0
40,728,470,296586,4,w,di,Donnarumma,Dúbravka,119.0,64.0
46,715,250,333462,4,w,di,Woltemade,Delap,95.0,43.0
52,728,681,294442,4,w,di,Donnarumma,Hermansen,119.0,22.0
54,324,417,295578,4,w,a,Iwobi,Cherki,47.0,109.0
55,389,418,323205,4,f,a,Elliott,Doku,3.0,52.0
56,729,470,296586,5,w,a,Lammens,Dúbravka,88.0,61.0
57,418,242,296185,5,w,di,Doku,Dewsbury-Hall,52.0,113.0
58,418,487,295609,5,w,a,Doku,Barnes,52.0,47.0
60,317,151,295609,5,w,a,Andersen,Van Hecke,41.0,53.0
61,470,681,294442,6,w,a,Dúbravka,Hermansen,61.0,21.0
62,526,310,322478,6,w,a,Igor Jesus,Barry,86.0,51.0
63,390,18,293094,6,w,a,Gravenberch,Madueke,100.0,58.0
65,667,18,293094,6,w,do,Xhaka,Madueke,86.0,58.0
73,295,478,296586,6,w,a,Keane,Trippier,87.0,9.0
78,671,735,295609,7,f,a,Wilson,Kolo Muani,26.0,38.0
